Model,DPO2024B
Firmware Version,1.56

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.0002,,,
Sample Interval,3.84025e-07,,,
Filter Frequency,290000,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.1,,0.02,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-5.1926e-05,-0.444,-0.448,-0.000800001,0.0048
-5.1542e-05,-0.444,-0.436,-0.000800001,-0.0056
-5.1158e-05,-0.444,-0.448,-0.0016,0.0016
-5.0774e-05,-0.444,-0.436,-0.0016,-0.0088
-5.0390e-05,-0.444,-0.448,-0.0032,0.0048
-5.0006e-05,-0.444,-0.436,-0.0048,-0.0128
-4.9622e-05,-0.444,-0.448,-0.0072,-0.000800001
-4.9238e-05,-0.444,-0.44,-0.0088,-0.016
-4.8854e-05,-0.444,-0.448,-0.0088,-0.004
-4.8470e-05,-0.444,-0.44,-0.0072,-0.0128
-4.8086e-05,-0.444,-0.448,-0.0056,0.0056
-4.7702e-05,-0.444,-0.44,-0.0048,-0.0088
